symbol,name,current,chg,first_percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH603586,金麒麟,15.38,-0.25,43.99,20.69,2226800,34364521.0,1.14,13.15,3.251,3015291756.0
SH603176,汇通集团,6.78,-0.11,44.12,-1.78,3591300,24383710.0,2.39,36.117,0.369,3163958082.0
SZ300786,国林科技,16.65,-0.27,44.0,8.32,1329480,22198569.0,0.97,200.377,0.12,3063864385.0
SZ300616,尚品宅配,21.35,-0.35,43.99,9.48,2809500,60155280.0,2.17,82.468,0.707,4224462158.0
SZ002782,可立克,13.42,-0.22,44.06,-21.65,5491781,73831734.18,1.16,54.698,0.596,6580073102.0
SZ301013,利和兴,13.42,-0.22,297.36,52.33,11232556,150586705.75,6.76,,0.0,3136831812.0
SH601595,上海电影,25.09,-0.41,43.96,128.71,7290540,182806713.0,1.63,,0.0,11245338000.0
SH601606,长城军工,13.46,-0.22,44.14,29.64,10127642,136531750.0,1.4,120.455,0.171,9748114264.0
SH688607,康众医疗,19.4,-0.32,266.22,2.37,469160,9158767.0,0.71,,0.0,1709703124.0
SH600039,四川路桥,9.72,-0.16,32.02,30.51,24434379,237829318.0,0.37,7.128,6.687,84715419764.0
SH600481,双良节能,11.52,-0.19,46.41,-8.89,23409400,270207064.0,1.25,16.12,2.604,21550017612.0
SH688208,道通科技,29.17,-0.48,204.19,-7.54,3879655,113821127.0,0.86,119.073,0.0,13181124384.0
SZ300960,通业科技,21.21,-0.35,241.97,26.91,1119292,23826199.92,4.37,64.641,1.886,2171603073.0
SZ301295,美硕科技,37.07,-0.61,20.11,-0.88,1888103,70018363.17,11.06,42.742,1.91,2669040000.0
SZ300238,冠昊生物,13.97,-0.23,146.76,35.89,4148500,58145380.0,1.56,,0.0,3704225143.0
SH688362,甬矽电子,33.46,-0.55,62.03,54.06,8283875,277034771.0,17.26,799.451,0.314,13640303600.0
SZ300893,松原股份,23.7,-0.39,205.12,-11.53,1172700,27824835.5,2.06,41.881,0.422,5346720000.0
SZ000617,中油资本,7.28,-0.12,237.56,32.87,100946501,738042260.08,0.8,17.09,1.607,92034335695.0
SZ300492,华图山鼎,63.87,-1.06,44.06,79.84,793070,50799425.8,0.56,1283.178,0.031,8972870839.0
SZ301032,新柴股份,9.08,-0.15,189.34,21.2,2434500,22157151.0,2.95,129.697,0.22,2189491272.0
SZ000702,正虹科技,6.03,-0.1,0.0,6.16,6216100,37575141.0,2.33,,0.0,1607806493.0
SH601318,中国平安,51.74,-0.86,38.43,13.52,67061372,3493879471.0,0.62,9.777,4.695,942197538566.0
SZ300990,同飞股份,44.73,-0.74,20.96,-11.56,517664,23173872.64,1.23,55.739,0.993,7536110400.0
SZ300969,恒帅股份,75.68,-1.26,176.89,14.92,1067775,81737826.9,5.34,39.164,0.33,6054400000.0
SH600641,万业企业,18.55,-0.31,175.0,4.62,9511110,178037918.0,1.02,36.217,0.739,17263185016.0
SZ002343,慈文传媒,7.18,-0.12,25.97,10.29,12984080,93153710.4,2.73,201.524,0.0,3410138745.0
SZ300622,博士眼镜,21.54,-0.36,44.05,5.59,1655015,35884348.59,1.44,35.474,1.388,3744375981.0
SZ000779,甘咨询,12.0,-0.2,175.27,22.2,7364300,88368445.0,1.96,16.551,0.0,4561141752.0
SH688508,芯朋微,65.56,-1.09,367.67,1.53,957761,62938307.0,1.16,96.868,0.381,7429217242.0
SZ002727,一心堂,25.21,-0.42,44.02,-18.79,5014437,126613225.97,1.25,14.042,1.587,15025750544.0
SZ002329,皇氏集团,6.6,-0.11,43.08,-13.5,10588860,70128415.0,1.8,,0.0,5736055611.0
SZ002553,南方精工,13.1,-0.22,48.0,17.09,23395306,305463499.18,9.84,,0.763,4558800000.0
SZ301018,申菱环境,29.13,-0.49,241.62,-14.49,4092547,118622712.73,4.72,45.311,0.683,7746890810.0
SH688162,巨一科技,38.74,-0.65,94.57,-9.86,676037,26304175.0,1.43,39.666,0.852,5322391750.0
SH600630,龙头股份,5.97,-0.1,-49.79,9.14,7174654,42926947.0,1.69,,0.0,2536423734.0
SH688593,新相微,16.67,-0.28,88.46,49.11,2816177,47258843.0,4.12,76.936,,7660355298.0
SZ000863,三湘印象,4.17,-0.07,0.0,-2.11,41643744,175136875.92,3.58,436.489,0.0,4923517165.0
SZ000670,盈方微,6.56,-0.11,906.67,-6.55,40742097,267898041.32,6.68,7300.448,0.0,5357075482.0
SH600415,小商品城,8.37,-0.14,1356.25,61.04,71271811,598404796.0,1.31,27.751,0.777,45918440853.0
SH603885,吉祥航空,17.91,-0.3,44.01,10.69,9261753,165920868.0,0.42,,0.0,39652834350.0
SZ001298,好上好,23.22,-0.39,19.96,-4.8,1100272,25600884.43,3.16,37.746,0.891,3232224000.0
SZ000153,丰原药业,9.48,-0.16,81.44,-29.36,8036501,76470366.52,2.58,19.285,1.055,3148414460.0
SH600189,泉阳泉,7.13,-0.12,0.0,5.16,14834190,105696806.0,2.07,106.483,0.0,5099360400.0
SH603097,江苏华辰,21.93,-0.37,43.96,29.21,3124200,68274394.0,7.81,46.7,1.596,3508800000.0
SZ301166,优宁维,43.72,-0.74,22.05,-2.51,1074000,47385658.12,2.6,36.902,2.059,3789066725.0
SZ002100,天康生物,8.28,-0.14,95.21,2.43,21980495,182906948.15,1.62,31.433,2.657,11217651736.0
SZ002293,罗莱生活,11.28,-0.19,28.17,6.09,3555037,40410697.41,0.43,16.009,5.328,9465211346.0
SZ003042,中农联合,21.27,-0.36,44.02,-17.85,5666460,121960544.8,8.32,45.762,0.47,3030549600.0
SZ300766,每日互动,15.33,-0.26,44.04,46.47,7472300,114208175.0,2.06,536.54,0.326,6133548330.0
SH688222,成都先导,15.31,-0.26,129.43,13.58,2580026,40157975.0,0.76,267.168,0.0,6134410800.0
SH688396,华润微,56.39,-0.96,228.2,7.5,4069821,230044670.0,0.31,31.303,0.351,74439980042.0
SH605108,同庆楼,35.36,-0.6,44.01,-4.82,2529027,90683247.0,0.97,64.252,0.212,9193600000.0
SH603173,福斯达,28.32,-0.48,44.02,52.61,1021364,28865752.0,2.55,29.591,0.494,4531200000.0
SH603517,绝味食品,37.71,-0.64,44.0,-37.99,6943128,262700543.0,1.1,84.725,0.477,23804011415.0
SH603319,湘油泵,17.07,-0.29,43.98,16.25,6933071,118266090.0,3.35,20.392,1.465,3551694506.0
SH600715,文投控股,2.35,-0.04,79.45,-2.89,34521450,81427670.0,1.86,,0.0,4358905725.0
SH600593,大连圣亚,17.06,-0.29,172.37,1.91,6728612,116491757.0,5.22,,0.0,2197328000.0
SH688737,中自科技,30.08,-0.51,-6.87,11.35,643068,19477266.0,0.98,,0.0,3616906011.0
SH601952,苏垦农发,12.4,-0.21,43.99,7.44,9780282,121548222.0,0.71,21.153,2.419,17087200000.0
SZ301161,唯万密封,23.5,-0.4,50.32,0.78,4486668,105133072.27,16.01,68.713,0.723,2820000000.0
SZ300921,南凌科技,24.7,-0.42,88.69,42.07,2471900,60853553.0,4.02,61.795,0.81,3249476919.0
SH603398,沐邦高科,23.4,-0.4,44.02,-16.9,1445574,33894290.0,0.42,,0.0,8017647464.0
SZ000753,漳州发展,4.67,-0.08,0.0,17.49,12892165,60473426.15,1.3,77.328,0.428,4630216602.0
SH600257,大湖股份,6.42,-0.11,100.45,7.18,31131025,202537749.0,6.47,,0.0,3089542747.0
SZ000810,创维数字,15.21,-0.26,0.0,10.49,12108950,184512865.22,1.08,23.892,1.315,17494786455.0
SZ002721,*ST金一,3.51,-0.06,44.08,7.67,4705200,16480922.0,0.49,,0.0,3369339828.0
SH688568,中科星图,48.13,-0.82,438.37,15.88,2052223,99277122.0,0.56,70.685,0.278,17588556256.0
SH601065,江盐集团,12.31,-0.21,57.34,19.53,7909998,97678590.0,5.1,16.541,0.634,7912573532.0
SH603390,通达电气,8.17,-0.14,43.99,25.89,2131300,17481427.0,0.61,,0.0,2873282659.0
SH603598,引力传媒,9.94,-0.17,44.03,7.11,5734500,57193847.0,2.14,,0.0,2662557226.0
SH688696,极米科技,143.0,-2.45,296.33,-12.6,669045,96320057.0,1.46,23.161,1.501,10010000000.0
SZ300680,隆盛科技,19.17,-0.33,44.01,-22.23,5425464,104344968.56,3.14,50.912,0.527,4428735409.0
SZ002373,千方科技,12.83,-0.22,71.18,43.83,13801061,177383200.74,1.0,,0.0,20273814798.0
SH605089,味知香,44.91,-0.77,43.99,-14.04,3494728,160376212.0,9.56,43.305,1.291,6197580000.0
SZ002046,国机精工,11.63,-0.2,68.7,6.78,6587789,76197592.29,1.26,24.14,1.522,6153774096.0
SH603777,来伊份,15.1,-0.26,43.96,-29.8,8773302,133281146.0,2.61,62.963,0.603,5082054611.0
SZ000505,京粮控股,8.14,-0.14,1750.0,0.49,11487282,93660382.3,1.74,41.765,0.0,5917375043.0
SZ002213,大为股份,14.58,-0.25,184.68,-9.1,5588900,81645532.0,2.71,233.799,0.0,3440880000.0
